27869,19465
19465,27869
19465,16227
4993,25292
4993,23216
4993,14888
4993,6659
4993,4439
4993,14888
4993,25569
4993,4439
4993,5016
4993,6659
6754,25124
25124,6754
26080,11279
26080,15169
11279,26080
11279,15169
15169,26080
15169,11279
2562,16508
2562,24688
16508,2562
16508,24688
24688,2562
24688,16508
19540,27541
19540,24460
19540,21377
27541,19540
27541,24460
27541,21377
24460,19540
24460,27541
24460,21377
21377,19540
21377,27541
21377,24460
5475,17122
17122,5475
9017,15029
15029,9017
15029,995
15029,12360
285,9756
285,16087
285,11323
285,23946
9756,285
9756,16087
9756,11323
9756,23946
9756,27798
9756,16087
9756,26522
9756,11323
9756,613
9756,23946
16087,285
16087,9756
16087,11323
16087,23946
16087,27798
16087,9756
16087,26522
16087,11323
16087,613
16087,23946
11323,285
11323,9756
11323,16087
11323,23946
11323,27798
11323,16087
11323,9756
11323,26522
11323,613
11323,23946
23946,285
23946,9756
23946,16087
23946,11323
23946,27798
23946,16087
23946,9756
23946,26522
23946,11323
23946,613
23028,17328
23028,26877
17328,23028
17328,26877
26877,23028
26877,17328
27194,14708
14708,27194
19483,20361
19483,7360
20361,19483
20361,7360
7360,19483
7360,20361
23310,7645
23310,21151
7645,23310
7645,21151
21151,23310
21151,7645
1812,8506
1812,12271
1812,6976
8506,1812
8506,12271
8506,6976
12271,1812
12271,8506
12271,6976
6976,1812
6976,8506
6976,12271
6976,4349
6976,1998
6976,9321
6976,24083
6976,24016
15440,22540
15440,1806
15440,28166
15440,13607
22540,15440
22540,1806
22540,28166
22540,13607
22540,4435
22540,1355
22540,26770
22540,20325
22540,20146
22540,24507
1806,15440
1806,22540
1806,28166
1806,13607
1806,16857
1806,7119
1806,1944
28166,15440
28166,22540
28166,1806
28166,13607
13607,15440
13607,22540
13607,1806
13607,28166
22848,6940
6940,22848
15765,13682
15765,8475
13682,15765
13682,8475
8475,15765
8475,13682
28250,3583
28250,22469
3583,28250
3583,22469
22469,28250
22469,3583
22469,12853
22469,9650
22469,24371
22469,11508
6033,25492
6033,24127
25492,6033
25492,24127
24127,6033
24127,25492
11340,24191
11340,11232
11340,8653
11340,26857
11340,3090
24191,11340
24191,11232
24191,8653
24191,26857
24191,3090
11232,11340
11232,24191
11232,8653
11232,26857
11232,3090
8653,11340
8653,24191
8653,11232
8653,26857
8653,3090
26857,11340
26857,24191
26857,11232
26857,8653
26857,3090
26857,19088
26857,26717
26857,2045
3090,11340
3090,24191
3090,11232
3090,8653
3090,26857
14988,18653
18653,14988
1158,10295
10295,1158
23404,3280
3280,23404
26666,6591
26666,17180
6591,26666
6591,17180
17180,26666
17180,6591
6861,23565
23565,6861
23266,20124
20124,23266
20124,11194
20124,22151
18937,24848
24848,18937
20804,17290
20804,3567
20804,18548
20804,7325
20804,10206
20804,3567
20804,14113
20804,15516
20804,23927
20804,15359
20804,26291
17290,20804
17290,4282
17290,9287
17290,14311
23735,9420
23735,10909
